	umap dim 1	umap dim 2	Membrane.Ecad..HCC.650.Joe..Mean..Normalized.Counts..Total.Weighting.	Nucleus.DAPI.Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD103..HCC.520.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.Glypican..HCC.540.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD8..HCC.570.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.PD1..HCC.620.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD3..HCC.690.Joe..Mean..Normalized.Counts..Total.Weighting.
9639	3.4427059	11.012475	19.625	14.63	1.214	19.092	20.119	6.044	0.869
9640	-1.0094209	9.660071	22.098	14.592	1.447	6.196	11.319	7.484	1.034
9641	0.58509696	8.089423	18.079	18.145	1.481	8.855	11.505	7.033	1.212
9642	0.26266524	12.465668	26.233	14.029	1.555	10.163	14.268	7.43	1.347
9643	1.2838297	6.300969	14.749	13.423	1.411	10.144	11.794	5.62	0.759
9644	1.6550214	-0.64002234	8.104	16.213	0.696	3.343	6.068	4.561	0.465
9645	3.0860834	10.383954	17.553	16.661	1.422	11.947	21.253	8.485	1.098
9646	-0.13437495	11.04354	23.774	14.708	1.352	6.032	14.366	6.086	1.083
9647	1.0942954	0.33357808	7.402	19.735	0.952	4.659	6.689	5.47	0.708
9648	2.5383272	11.4573145	22.102	12.538	1.638	17.594	16.199	6.355	1.175
9649	0.8994773	11.972221	24.94	15.632	1.603	8.493	17.078	6.827	1.492
9650	2.3098896	-1.9704598	6.098	12.59	0.886	3.804	6.322	4.838	0.585
9651	-0.940402	7.7748084	18.705	14.102	1.243	7.355	10.104	5.855	0.871
9652	1.0107361	2.3522274	11.614	15.772	1.504	5.32	8.768	7.492	0.817
9653	2.2874818	4.1447215	11.524	13.911	1.726	6.548	12.709	6.939	1.039
9654	1.0734361	9.983556	21.081	15.461	1.452	10.31	14.891	7.98	1.109
9655	1.7588688	2.6195915	11.261	14.824	1.354	5.963	9.429	7.099	0.781
9656	1.1287707	7.827801	17.315	16.914	1.558	11.754	9.895	5.918	0.874
9657	2.5619917	-2.098004	4.722	12.24	1.062	4.612	6.197	5.717	0.693
9658	1.9837788	1.7891563	9.198	15.607	1.119	7.587	8.023	8.908	0.854
9659	3.0618896	11.046797	18.551	13.076	1.402	19.803	18.64	9.04	1.256
9660	4.0005984	5.852735	8.815	11.751	1.539	13.225	17.442	6.85	0.783
9661	3.4544942	7.012995	13.449	15.389	1.466	7.022	18.061	6.562	0.986
9662	0.9367295	10.548916	21.952	19.497	1.584	12.729	10.916	5.701	1.285
9663	-0.34468615	11.536404	26.641	22.249	1.341	6.04	12.085	7.937	0.83
9664	-0.8345659	8.889969	20.625	15.503	1.698	6.687	11.151	7.126	1.004
9665	-0.76981276	11.128584	24.048	12.215	1.435	6.985	13.388	6.42	1.134
9666	0.19668226	2.2404938	11.964	21.137	1.165	6.332	8.681	5.728	1.009
9667	2.2653816	13.645517	29.637	18.23	1.404	14.845	22.787	7.438	1.119
9668	-0.4990263	9.222396	19.93	13.615	1.618	7.496	13.266	5.833	1.236
9669	2.918375	7.7077236	15.343	11.659	1.294	8.013	16.599	9.384	0.954
9670	0.71913886	13.847769	30.931	15.735	1.268	11.479	15.604	4.899	1.036
9671	2.9282331	9.939707	17.562	17.302	1.471	17.194	14.963	7.352	1.003
9672	-0.94012976	8.166767	19.288	13.002	1.239	7.28	10.725	6.93	0.987
9673	1.7806094	4.5777392	13.209	12.856	1.492	6.914	11.49	8.898	0.846
9674	1.075651	2.34301	10.783	18.08	1.181	6.457	10.359	6.866	0.926
9675	0.9461409	0.26755336	5.706	21.016	1.178	5.157	7.915	7.986	0.783
9676	0.75597465	0.5078367	9.564	18.871	0.861	3.62	6.96	6.324	0.889
9677	3.5482712	8.010932	12.68	12.221	1.324	14.998	16.868	7.711	1.087
9678	2.8272796	-0.030288592	6.969	14.523	1.263	6.66	7.392	5.364	0.688
9679	1.5594705	7.5602045	15.824	12.189	1.523	11.341	12.725	6.91	0.898
9680	1.3962559	8.690495	18.084	19.936	1.792	6.786	15.138	8.8	1.486
9681	1.8897741	8.912319	18.108	17.396	1.574	10.749	14.452	9.061	0.966
9682	1.0026107	6.862061	17.087	20.371	1.548	8.502	12.392	7.314	0.87
9683	-0.20211048	6.4249034	16.796	15.231	1.372	6.615	10.66	7.915	0.981
9684	-0.7253506	11.767232	27.155	16.508	1.563	5.806	10.688	5.115	1.189
9685	2.6291423	6.499279	13.082	14.126	1.563	8.905	14.353	7.306	0.715
9686	3.4117472	2.7582026	9.063	13.41	1.354	8.554	11.26	6.646	0.7
9687	0.62766665	6.006272	17.95	23.718	1.219	8.171	10.23	7.653	1.136
9688	4.154388	-0.34832922	4.209	13.092	1.334	3.783	10.082	7.842	1.016
